Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_8873,10,0,0,0,0,0,18,160,178,1.342,8873,8873,38.087,54.525,0,0.080,0.205,0.016,0.062,0.058,7.240,8.529,4.046,7.663,1.319
Track_8874,5,0,0,0,0,0,8,158,166,0.476,8874,8874,14.220,18.841,0,0.060,0.083,0.035,0.070,0.021,9.042,10.498,7.701,8.843,1.136
Track_8875,4,0,0,0,0,0,6,156,162,0.521,8875,8875,10.731,1.665,0,0.087,0.187,0.031,0.043,0.087,8.961,11.846,4.619,10.474,2.714
Track_8880,8,0,0,0,0,0,14,156,170,1.144,8880,8880,20.094,34.356,0,0.085,0.135,0.021,0.084,0.039,12.144,17.552,7.778,14.170,3.708
Track_8881,13,0,0,0,0,0,24,156,180,1.512,8881,8881,38.024,0.000,0,0.063,0.216,0.000,0.054,0.056,8.350,10.804,4.654,9.378,1.869
Track_8884,6,0,0,0,0,0,10,156,166,0.478,8884,8884,50.308,51.858,0,0.062,0.121,0.028,0.043,0.037,5.990,7.268,3.813,6.474,1.106
Track_8885,6,0,0,0,0,0,10,158,168,1.042,8885,8885,2.076,17.259,0,0.112,0.173,0.051,0.127,0.049,5.966,6.489,5.276,6.222,0.455
Track_8888,6,0,0,0,0,0,10,158,168,0.749,8888,8888,24.648,16.926,0,0.078,0.132,0.025,0.090,0.043,8.645,11.154,6.602,8.877,1.695
Track_8890,9,0,0,0,0,0,16,158,174,1.458,8890,8890,38.593,52.746,0,0.101,0.210,0.017,0.102,0.064,10.304,15.978,7.487,8.336,3.046
Track_8900,5,0,0,0,0,0,8,160,168,0.748,8900,8900,37.359,35.027,0,0.095,0.200,0.058,0.062,0.070,8.361,10.876,6.328,8.730,1.624
